06:45 [Private | Amore Carver] Amore Carver transmits, "are you asleep or awake?"
11:16 [Private | Amore Carver] You transmit, "Hi. I was asleep earlier."
11:16 [Private | Amore Carver] Amore Carver transmits, "that's fine, did you sleep well?"
11:17 [Private | Amore Carver] You transmit, "I did. How are you?"
11:17 [Private | Amore Carver] Amore Carver transmits, "wonderful thanks"
11:22 [Private | Amore Carver] Amore Carver transmits, "how far out are you guys now?"
11:22 [Private | Amore Carver] You transmit, "1734 light years."
11:23 [Private | Amore Carver] Amore Carver transmits, "did you get a lot of artifacts?"
11:24 [Private | Amore Carver] You transmit, "A little less than 50. There are planetary surveys in the container too."
11:24 [Private | Amore Carver] You transmit, "And a wormhole scan as well."
11:24 [Private | Amore Carver] Amore Carver transmits, "i wonder if we shouldn't try to go ools as a org together? do you think matt and them would like to do something like that?"
11:24 [Private | Amore Carver] Amore Carver transmits, "oh wow, ok, that's nice"
11:25 [Private | Amore Carver] You transmit, "We've thought about it, but Matt gets bored after about a thousand light years."
11:26 [Private | Amore Carver] Amore Carver transmits, "but maybe, now that we can have communications for a longer period, he might not get bored?"
11:27 [Private | Amore Carver] You transmit, "Last time Kitty and I went out of locals, we went 7500 light years before turning around. Apparently, he still get bored. heh"
11:27 [Private | Amore Carver] Amore Carver laughs.
11:28 [Private | Amore Carver] You transmit, "He likes the danger and the threat of danger. Going out of locals doesn't provide enough of that for him I think."
11:29 [Private | Amore Carver] Amore Carver transmits, "there's not much in locals in any case for him either, not as far as i've seen, it's like people is to scared of him"
11:29 [Private | Amore Carver] You transmit, "You do have a point there."
11:30 [Private | Amore Carver] Amore Carver transmits, "maybe we can talk to him when you guys come back? if kitty wants, we all can go out again after new year?"
11:30 [Private | Amore Carver] You transmit, "Sure. We can definitely talk about it. Just keep in mind that Kitty and I were planning to go out of locals for several months after the New Year."
11:32 [Private | Amore Carver] You transmit, "But I sure wouldn't mind more people coming along. It's up to Kitty though as it's her ship. Although, if we got enough people, we could take my transverser."
11:32 [Private | Amore Carver] Amore Carver transmits, "give me a sec"
11:33 [Private | Amore Carver] You transmit, "Sure."
11:41 [Private | Amore Carver] Amore Carver transmits, "let's see when you guys come back, maybe we can have a meeting, and talk about it"
11:41 [Private | Amore Carver] You transmit, "Sounds good to me."
11:42 [Private | Amore Carver] Amore Carver transmits, "i just think it would be fun, we can get to know each other better, and i'm sure if we are a few more people, it can go quicker than just when two people fly?"
11:45 [Private | Amore Carver] You transmit, "I agree with you. It'd definitely be fun."
11:45 [Private | Amore Carver] Amore Carver laughs and transmits, "As long as we have food, drinks, and a shower and bed, I'm happy."
11:46 [Private | Amore Carver] You laugh.
11:46 [Private | Amore Carver] You transmit, "We'll definitely have that."
11:47 [Private | Amore Carver] Amore Carver transmits, "or even if we plan a smaller trip for the org, and then when we get back, you two can go out again? i don't know, but we should talk about it when you guys get back"
11:47 [Private | Amore Carver] You transmit, "For sure."
11:47 [Private | Amore Carver] Amore Carver transmits, "i'm so excited just thinking about it, they all should wake up so we can talk about it now"
11:47 [Private | Amore Carver] Amore Carver laughs.
11:47 [Private | Amore Carver] You laugh.
11:48 [Private | Amore Carver] You transmit, "Well, Kitty won't probably be awake for at least another hour or so."
11:48 [Private | Amore Carver] Amore Carver transmits through a fit of giggles, "And who knows when that matt will wake up."
11:49 [Private | Amore Carver] You chuckle and transmit, "Go hunt him down and throw water on him. Maybe that'll wake him up?"
11:50 [Private | Amore Carver] Amore Carver transmits, "do you want him to throw me on his torcher chair?"
11:50 [Private | Amore Carver] Amore Carver laughs.
11:50 [Private | Amore Carver] You laugh and transmit, "That depends on what you're into... Never mind. Not going there."
11:51 [Private | Amore Carver] Amore Carver transmits through a fit of giggles, "Hmm, I might just like it."
11:51 [Private | Amore Carver] You laugh.
11:52 [Private | Amore Carver] Amore Carver transmits, "how long do you know matt for?"
11:53 [Private | Amore Carver] You transmit, "I just met him like maybe a month ago. Probably even less. Kitty has known him for about nine years I think."
11:53 [Private | Amore Carver] Amore Carver transmits, "wow that's a long time to know somebody"
11:53 [Private | Amore Carver] You transmit, "Yep."
11:54 [Private | Amore Carver] Amore Carver transmits, "you know, he was the first person i met when i came to the pilot community?"
11:54 [Private | Amore Carver] You transmit, "Yeah, I think I remember that actually."
11:55 [Private | Amore Carver] Amore Carver transmits, "And just because he liked my ship's name, he wanted a link, and he has been a awesome friend to me ever since."
11:56 [Private | Amore Carver] You transmit, "Yeah, I remember that conversation where you two compared ship names. That was cool."
11:56 [Private | Amore Carver] Amore Carver laughs.
11:56 [Private | Amore Carver] You transmit, "You guys were talking over short range and I happened to be in the sector."
11:57 [Private | Amore Carver] Amore Carver transmits, "oh really? wow and here we are best friends too, it's just so awesome"
11:57 [Private | Amore Carver] You enthusiastically transmit, "It really is!"
11:58 [Private | Amore Carver] Amore Carver transmits, "now if i can just get to 1500 points, i've decided that i rather want to be in AIE"
11:58 [Private | Amore Carver] You cheer and transmit, "Yay! Go AIE!"
11:59 [Private | Amore Carver] Amore Carver laughs.
11:59 [Private | Amore Carver] You transmit, "Actually, I've considered switching to Common Wealth, but have been hesitant about it."
12:00 [Private | Amore Carver] Amore Carver transmits, "don't, it's not that cw isn't good, but i got the idea that IAE are more a family than what cw is"
12:01 [Private | Amore Carver] You transmit, "Yeah, I like the CW ships though. At least their specialty ships."
12:01 [Private | Amore Carver] Amore Carver transmits, "and i fell in love with the transverser, matt took me to that station called heart of nights, and i loved the way it just gobbled up the distances"
12:02 [Private | Amore Carver] You transmit, "It really is a cool ship. A bit difficult to solo, but a great ship anyways."
12:02 [Private | Amore Carver] Amore Carver transmits, "i understand that, but Matt solo it, so it can be done, just practise i guess"
12:03 [Private | Amore Carver] You transmit, "Yep. I took my transverser out with just one other person and we did fine. Even fought off a muzati and an Onno in the same sector. That was fun."
12:04 [Private | Amore Carver] Amore Carver transmits, "that time we went out too, it's not that difficult and it is a very sexy ship"
12:04 [Private | Amore Carver] You transmit, "Yep."
12:05 [Private | Amore Carver] Amore Carver transmits, "i just need 570 more points, it's not that much, but it feels like i'm never going to get there"
12:05 [Private | Amore Carver] Amore Carver laughs.
12:05 [Private | Amore Carver] You transmit, "Kitty's just very cautious about things so she won't do it. She's lost a couple of very expensive ships in the past."
12:05 [Private | Amore Carver] You transmit, "Oh, you will."
12:06 [Private | Amore Carver] Amore Carver transmits, "i can understand that, i would feel the same as her, if i had lost ships"
12:06 [Private | Amore Carver] You transmit, "She lost a gunship that was worth over 2 to 3 billion credits in a very long fight with a muzano."
12:07 [Private | Amore Carver] Amore Carver transmits, "oh wow, i would cry i swear"
12:07 [Private | Amore Carver] You transmit, "Yeah, so you'll never see her fly around in expensive ships."
12:08 [Private | Amore Carver] Amore Carver transmits, "My gs isn't that much worth, and I'll cry my eyes out if I lost it."
