00:23 [AEU | 1: Alliance Communication] Eli Grey transmits, "How's it going?"

00:23 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Medium well."

00:23 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "It's going good!"

00:23 Prissy the old big violet long-haired felo wanders in from the north.

00:25 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "What do you two have planned, or are considering in doing?"

00:26 [AEU | 1: Alliance Communication] Eli Grey transmits, "Wait, there's a plan?"

00:27 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Not really."

00:27 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Well..."

00:27 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Yeah.. not really."

00:27 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Hrm... so close to getting that battery from frontier processor..."

00:27 Prissy the old big violet long-haired felo rears up and plants both pairs of forelegs on your leg, then rubs its head against you, purring softly.

00:27 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "And, then I can get the junkdrive."

00:29 [AEU | 1: Alliance Communication] Eli Grey transmits, "You got rescued Constantine?"

00:29 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Yeah, Eve came and got me."

00:30 [AEU | 1: Alliance Communication] Eli Grey transmits, "What happened?"

00:30 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Well, like a dummy, I didn't realize that there were no inserters pointing back from 287."

00:30 [AEU | 1: Alliance Communication] Eli Grey transmits, "Oh damn, I'm sorry. I probably should have known that."

00:31 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Eh, no worries. Now we know."

00:31 [AEU | 1: Alliance Communication] Eli Grey transmits, "How did you even get in touch with anyone?"

00:31 [AEU | 1: Alliance Communication] Eli Grey transmits, "Space telepathy?"

00:31 [AEU | 1: Alliance Communication] Constantine Stone laughs.

00:31 Prissy the old big violet long-haired felo wanders out.

00:31 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "By good fortune."

00:32 [AEU | 1: Alliance Communication] Eli Grey transmits, "Well at least you probably god some good roids ou there."

00:32 [AEU | 1: Alliance Communication] Eli Grey transmits, "Er.. yeah."

00:32 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Nope."

00:32 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Well, no, cause there's not even an inserter going from 287 ro 288."

00:32 [AEU | 1: Alliance Communication] Constantine Stone transmits, "To, rather."

00:32 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Yeah.. need a rift drive to get out there."

00:33 [AEU | 1: Alliance Communication] Eli Grey transmits, "Well shit, sorry man."

00:33 [AEU | 1: Alliance Communication] Constantine Stone transmits, "It was no big deal. At least we weren't stuck anywhere dangerous."

00:38 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Either of you want to git a Nest or.. someting?"

00:43 [AEU | 1: Alliance Communication] Ather Jammoa transmits, "Reminder to all pilots. A proposal of importance is up on the AEU voting machine. Vote on it, tell your AEU friends to vote on it too. It could determine a lot!"

00:58 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "So close.. I can taste it!"

01:01 [AEU | 1: Alliance Communication] Johnathon Triggs assaults your ears with a burst of static and screeching feedback as he transmits at the top of his lungs, "WOO! 200!"

01:01 [AEU | 1: Alliance Communication] Constantine Stone cheers.

01:01 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Now... where was that spacejet.. Torus?"

01:02 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Yep."

01:02 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Sweeeeeetness."

01:12 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Hey, constantine. It's 3000 industry OR 300 exploration."

01:12 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Yeah."

01:12 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "I was thinking it was AND."

01:12 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Oh no. Like I was saying earlier, I got the industry first."

01:12 [AEU | 1: Alliance Communication] Constantine Stone transmits, "Because that was easier for me."

01:12 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "That's a relief.... sort of."

01:12 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Yeah."

01:13 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Do have to say though... a fair good price for it."

01:13 [AEU | 1: Alliance Communication] Constantine Stone transmits, "The rift drive?"

01:13 [AEU | 1: Alliance Communication] Johnathon Triggs transmits, "Yeah."

